rank,title,revenue,year,title_clean
1,Star Wars: Episode VII - The Force Awakens,936662225.0,2015,star wars episode vii the force awakens
2,Avengers: Endgame,858373000.0,2019,avengers endgame
3,Spider-Man: No Way Home,814866759.0,2021,spiderman no way home
4,Avatar,785221649.0,2009,avatar
5,Top Gun: Maverick,718732821.0,2022,top gun maverick
6,Black Panther,700426566.0,2018,black panther
7,Avatar: The Way of Water,688459501.0,2022,avatar the way of water
8,Avengers: Infinity War,678815482.0,2018,avengers infinity war
9,Titanic,674354882.0,1997,titanic
10,Jurassic World,653406625.0,2015,jurassic world
11,Inside Out 2,652980194.0,2024,inside out 2
12,Deadpool & Wolverine,636745858.0,2024,deadpool wolverine
13,Barbie,636238421.0,2023,barbie
14,The Avengers,623357910.0,2012,the avengers
15,Star Wars: Episode VIII - The Last Jedi,620181382.0,2017,star wars episode viii the last jedi
16,Incredibles 2,608581744.0,2018,incredibles 2
17,The Super Mario Bros. Movie,574934330.0,2023,the super mario bros movie
18,The Lion King,543638043.0,2019,the lion king
19,The Dark Knight,534987076.0,2008,the dark knight
20,Rogue One: A Star Wars Story,533539991.0,2016,rogue one a star wars story
21,Star Wars: Episode IX - The Rise of Skywalker,515202542.0,2019,star wars episode ix the rise of skywalker
22,Beauty and the Beast,504481165.0,2017,beauty and the beast
23,Star Wars: Episode I - The Phantom Menace,487576624.0,1999,star wars episode i the phantom menace
24,Finding Dory,486295561.0,2016,finding dory
25,Frozen II,477373578.0,2019,frozen ii
26,Wicked,474983975.0,2024,wicked
27,Star Wars: Episode IV - A New Hope,460998507.0,1977,star wars episode iv a new hope
28,Moana 2,460405297.0,2024,moana 2
29,Avengers: Age of Ultron,459005868.0,2015,avengers age of ultron
30,Black Panther: Wakanda Forever,453829060.0,2022,black panther wakanda forever
31,The Dark Knight Rises,448149584.0,2012,the dark knight rises
32,Shrek 2,444978202.0,2004,shrek 2
33,E.T. the Extra-Terrestrial,439454989.0,1982,et the extraterrestrial
34,Toy Story 4,434038008.0,2019,toy story 4
35,Zootopia 2,428130160.0,2025,zootopia 2
36,Captain Marvel,426829839.0,2019,captain marvel
37,The Lion King,424979720.0,1994,the lion king
38,The Hunger Games: Catching Fire,424668047.0,2013,the hunger games catching fire
39,A Minecraft Movie,424087780.0,2025,a minecraft movie
40,Lilo & Stitch,423778855.0,2025,lilo stitch
41,Pirates of the Caribbean: Dead Man's Chest,423315812.0,2006,pirates of the caribbean dead mans chest
42,Jurassic World: Fallen Kingdom,417719760.0,2018,jurassic world fallen kingdom
43,Toy Story 3,415004880.0,2010,toy story 3
44,Star Wars: Episode III - Revenge of the Sith,414378291.0,2005,star wars episode iii revenge of the sith
45,Wonder Woman,412845172.0,2017,wonder woman
46,Doctor Strange in the Multiverse of Madness,411331607.0,2022,doctor strange in the multiverse of madness
47,Iron Man 3,409013994.0,2013,iron man 3
48,Spider-Man,408524875.0,2002,spiderman
49,Captain America: Civil War,408084349.0,2016,captain america civil war
50,The Hunger Games,408010692.0,2012,the hunger games
51,Jurassic Park,407185075.0,1993,jurassic park
52,Jumanji: Welcome to the Jungle,404540171.0,2017,jumanji welcome to the jungle
53,Avatar: Fire and Ash,404328306.0,2025,avatar fire and ash
54,Transformers: Revenge of the Fallen,402111870.0,2009,transformers revenge of the fallen
55,Frozen,400953009.0,2013,frozen
56,Spider-Man: Far from Home,391283774.0,2019,spiderman far from home
57,Guardians of the Galaxy Vol. 2,389813101.0,2017,guardians of the galaxy vol 2
58,The Lord of the Rings: The Return of the King,386975644.0,2003,the lord of the rings the return of the king
59,Harry Potter and the Deathly Hallows: Part 2,381884297.0,2011,harry potter and the deathly hallows part 2
60,Spider-Man: Across the Spider-Verse,381593754.0,2023,spiderman across the spiderverse
61,Finding Nemo,380843261.0,2003,finding nemo
62,Jurassic World: Dominion,376851080.0,2022,jurassic world dominion
63,Spider-Man 2,375087840.0,2004,spiderman 2
64,The Passion of the Christ,370782930.0,2004,the passion of the christ
65,Minions: The Rise of Gru,370549695.0,2022,minions the rise of gru
66,The Batman,369801546.0,2022,the batman
67,The Secret Life of Pets,368623860.0,2016,the secret life of pets
68,Despicable Me 2,368065385.0,2013,despicable me 2
69,The Jungle Book,364001123.0,2016,the jungle book
70,Deadpool,363070709.0,2016,deadpool
71,Despicable Me 4,361004205.0,2024,despicable me 4
72,Guardians of the Galaxy Vol. 3,358995815.0,2023,guardians of the galaxy vol 3
73,Inside Out,356461711.0,2015,inside out
74,Aladdin,355559216.0,2019,aladdin
75,Superman,354223803.0,2025,superman
76,Furious 7,353007020.0,2015,furious 7
77,Transformers: Dark of the Moon,352390543.0,2011,transformers dark of the moon
78,American Sniper,350159020.0,2014,american sniper
79,The Lord of the Rings: The Two Towers,350104956.0,2002,the lord of the rings the two towers
80,Thor: Love and Thunder,343256830.0,2022,thor love and thunder
81,Wicked: For Good,342915090.0,2025,wicked for good
82,Zootopia,341268248.0,2016,zootopia
83,Jurassic World: Rebirth,339640400.0,2025,jurassic world rebirth
84,Spider-Man 3,338032318.0,2007,spiderman 3
85,The Hunger Games: Mockingjay - Part 1,337135885.0,2014,the hunger games mockingjay part 1
86,Minions,336045770.0,2015,minions
87,Joker,335477657.0,2019,joker
88,Aquaman,335104314.0,2018,aquaman
89,Spider-Man: Homecoming,334952829.0,2017,spiderman homecoming
90,Alice in Wonderland,334191110.0,2010,alice in wonderland
91,Guardians of the Galaxy,333718600.0,2014,guardians of the galaxy
92,Forrest Gump,330455270.0,1994,forrest gump
93,Batman v Superman: Dawn of Justice,330360194.0,2016,batman v superman dawn of justice
94,Oppenheimer,330078895.0,2023,oppenheimer
95,It,328874981.0,2017,it
96,The Lord of the Rings: The Fellowship of the Ring,325873309.0,2001,the lord of the rings the fellowship of the ring
97,Suicide Squad,325100054.0,2016,suicide squad
98,Deadpool 2,324591735.0,2018,deadpool 2
99,Shrek the Third,322719944.0,2007,shrek the third
100,Jumanji: The Next Level,320314960.0,2019,jumanji the next level
101,Harry Potter and the Sorcerer's Stone,319765078.0,2001,harry potter and the sorcerers stone
102,Transformers,319246193.0,2007,transformers
103,Iron Man,319034126.0,2008,iron man
104,Indiana Jones and the Kingdom of the Crystal Skull,317101119.0,2008,indiana jones and the kingdom of the crystal skull
105,Star Wars: Episode VI - Return of the Jedi,316566101.0,1983,star wars episode vi return of the jedi
106,Thor: Ragnarok,315058289.0,2017,thor ragnarok
107,Iron Man 2,312433331.0,2010,iron man 2
108,Star Wars: Episode II - Attack of the Clones,310676740.0,2002,star wars episode ii attack of the clones
109,Pirates of the Caribbean: At World's End,309420425.0,2007,pirates of the caribbean at worlds end
110,The Super Mario Galaxy Movie,308117135.0,2026,the super mario galaxy movie
111,Independence Day,306169268.0,1996,independence day
112,Pirates of the Caribbean: The Curse of the Black Pearl,305413918.0,2003,pirates of the caribbean the curse of the black pearl
113,Skyfall,304360277.0,2012,skyfall
114,The Hobbit: An Unexpected Journey,303030651.0,2012,the hobbit an unexpected journey
115,Harry Potter and the Half-Blood Prince,302334374.0,2009,harry potter and the halfblood prince
116,The Twilight Saga: Eclipse,300840764.0,2010,the twilight saga eclipse
117,The Twilight Saga: New Moon,298410482.0,2009,the twilight saga new moon
118,The Little Mermaid,298172056.0,2023,the little mermaid
119,Harry Potter and the Deathly Hallows: Part 1,296374621.0,2010,harry potter and the deathly hallows part 1
120,Beetlejuice Beetlejuice,294100435.0,2024,beetlejuice beetlejuice
121,The Sixth Sense,293506292.0,1999,the sixth sense
122,The Twilight Saga: Breaking Dawn - Part 2,293144686.0,2012,the twilight saga breaking dawn part 2
123,Up,293004164.0,2009,up
124,Star Wars: Episode V - The Empire Strikes Back,292753960.0,1980,star wars episode v the empire strikes back
125,Inception,292587330.0,2010,inception
