rank,title,revenue,year,title_clean
126,Harry Potter and the Order of the Phoenix,292382727.0,2007,harry potter and the order of the phoenix
127,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",291710957.0,2005,the chronicles of narnia the lion the witch and the wardrobe
128,Harry Potter and the Goblet of Fire,291239805.0,2005,harry potter and the goblet of fire
129,Man of Steel,291045518.0,2013,man of steel
130,"Monsters, Inc.",290642256.0,2001,monsters inc
131,Home Alone,285761243.0,1990,home alone
132,Dune: Part Two,282144358.0,2024,dune part two
133,The Twilight Saga: Breaking Dawn - Part 1,281797623.0,2011,the twilight saga breaking dawn part 1
134,The Hunger Games: Mockingjay - Part 2,281723902.0,2015,the hunger games mockingjay part 2
135,The Matrix Reloaded,281576461.0,2003,the matrix reloaded
136,Jaws,280083300.0,1975,jaws
137,Sinners,279989632.0,2025,sinners
138,Meet the Fockers,279261160.0,2004,meet the fockers
139,The Hangover,277339746.0,2009,the hangover
140,The Fantastic Four: First Steps,274286610.0,2025,the fantastic four first steps
141,Gravity,274092705.0,2013,gravity
142,The Grinch,272504456.0,2018,the grinch
143,Sing,270578425.0,2016,sing
144,Shrek,268698241.0,2001,shrek
145,Monsters University,268492764.0,2013,monsters university
146,Twisters,267762265.0,2024,twisters
147,How the Grinch Stole Christmas,264965545.0,2000,how the grinch stole christmas
148,Despicable Me 3,264624300.0,2017,despicable me 3
149,Harry Potter and the Chamber of Secrets,263094348.0,2002,harry potter and the chamber of secrets
150,How to Train Your Dragon,262958100.0,2025,how to train your dragon
151,The Amazing Spider-Man,262782352.0,2012,the amazing spiderman
152,The Incredibles,261441092.0,2004,the incredibles
153,Captain America: The Winter Soldier,259766572.0,2014,captain america the winter soldier
154,The Hobbit: The Desolation of Smaug,258387334.0,2013,the hobbit the desolation of smaug
155,The Lego Movie,257966122.0,2014,the lego movie
156,Star Trek,257730019.0,2009,star trek
157,Project Hail Mary,256657974.0,2026,project hail mary
158,I Am Legend,256393010.0,2007,i am legend
159,The Blind Side,255982860.0,2009,the blind side
160,The Hobbit: The Battle of the Five Armies,255138261.0,2014,the hobbit the battle of the five armies
161,Mufasa: The Lion King,254567693.0,2024,mufasa the lion king
162,The Hangover Part II,254464305.0,2011,the hangover part ii
163,Despicable Me,251683815.0,2010,despicable me
164,Batman,251409241.0,1989,batman
165,Night at the Museum,250863268.0,2006,night at the museum
166,Men in Black,250690539.0,1997,men in black
167,Harry Potter and the Prisoner of Azkaban,250657586.0,2016,harry potter and the prisoner of azkaban
168,Moana,248757044.0,2016,moana
169,Raiders of the Lost Ark,248159971.0,1981,raiders of the lost ark
170,Toy Story 2,245852179.0,1999,toy story 2
171,Transformers: Age of Extinction,245439076.0,2014,transformers age of extinction
172,Cars,244082982.0,2006,cars
173,Ghostbusters,243640120.0,1984,ghostbusters
174,Bruce Almighty,242829261.0,2003,bruce almighty
175,Twister,241830615.0,1996,twister
176,My Big Fat Greek Wedding,241438208.0,2002,my big fat greek wedding
177,Maleficent,241410378.0,2014,maleficent
178,Pirates of the Caribbean: On Stranger Tides,241071802.0,2011,pirates of the caribbean on stranger tides
179,Shrek Forever After,238736787.0,2010,shrek forever after
180,Fast & Furious 6,238679850.0,2013,fast furious 6
181,Brave,237283207.0,2012,brave
182,Sonic the Hedgehog 3,236115100.0,2024,sonic the hedgehog 3
183,Oz the Great and Powerful,234911825.0,2013,oz the great and powerful
184,Beverly Hills Cop,234760478.0,1984,beverly hills cop
185,X-Men: The Last Stand,234362462.0,2006,xmen the last stand
186,War of the Worlds,234280354.0,2005,war of the worlds
187,Fantastic Beasts and Where to Find Them,234037575.0,2016,fantastic beasts and where to find them
188,X-Men: Days of Future Past,233921534.0,2014,xmen days of future past
189,Cast Away,233632142.0,2000,cast away
190,The Exorcist,233005644.0,1973,the exorcist
191,Doctor Strange,232641920.0,2016,doctor strange
192,Toy Story,229947062.0,1995,toy story
193,The Lost World: Jurassic Park,229086679.0,1997,the lost world jurassic park
194,Justice League,229024295.0,2017,justice league
195,Star Trek Into Darkness,228778661.0,2013,star trek into darkness
196,The Martian,228433663.0,2015,the martian
197,Signs,227966634.0,2002,signs
198,Hancock,227946274.0,2008,hancock
199,The Bourne Ultimatum,227471070.0,2007,the bourne ultimatum
200,Logan,226277068.0,2017,logan
201,Rush Hour 2,226164286.0,2001,rush hour 2
202,The Fate of the Furious,226008385.0,2017,the fate of the furious
203,Shang-Chi and the Legend of the Ten Rings,224543292.0,2021,shangchi and the legend of the ten rings
204,WALL·E,223808164.0,2008,walle
205,Big Hero 6,222527828.0,2014,big hero 6
206,Back to the Future,222476852.0,1985,back to the future
207,Mission: Impossible - Fallout,220159104.0,2018,mission impossible fallout
208,National Treasure: Book of Secrets,219964115.0,2007,national treasure book of secrets
209,Alvin and the Chipmunks: The Squeakquel,219614612.0,2009,alvin and the chipmunks the squeakquel
210,Mrs. Doubtfire,219195243.0,1993,mrs doubtfire
211,Beauty and the Beast,218967620.0,1991,beauty and the beast
212,Ted,218815487.0,2012,ted
213,Wonka,218402312.0,2023,wonka
214,King Kong,218080025.0,2005,king kong
215,Ghost,217631306.0,1990,ghost
216,How to Train Your Dragon,217581231.0,2010,how to train your dragon
217,The Da Vinci Code,217536138.0,2006,the da vinci code
218,Aladdin,217350219.0,1992,aladdin
219,Alvin and the Chipmunks,217326974.0,2007,alvin and the chipmunks
220,Saving Private Ryan,217049603.0,1998,saving private ryan
221,Bohemian Rhapsody,216668042.0,2018,bohemian rhapsody
222,Ant-Man and the Wasp,216648740.0,2018,antman and the wasp
223,Madagascar 3: Europe's Most Wanted,216391482.0,2012,madagascar 3 europes most wanted
224,Kung Fu Panda,216064546.0,2008,kung fu panda
225,Mission: Impossible II,215409889.0,2000,mission impossible ii
226,A Star Is Born,215333122.0,2018,a star is born
227,X2: X-Men United,214949694.0,2003,x2 xmen united
228,Ant-Man and the Wasp: Quantumania,214504909.0,2023,antman and the wasp quantumania
229,The Lorax,214494550.0,2012,the lorax
230,Solo: A Star Wars Story,213767512.0,2018,solo a star wars story
231,Venom: Let There Be Carnage,213550366.0,2021,venom let there be carnage
232,Venom,213515506.0,2018,venom
233,Austin Powers in Goldmember,213307889.0,2002,austin powers in goldmember
234,It: Chapter Two,211622525.0,2019,it chapter two
235,300,210629101.0,2007,300
236,Coco,210460015.0,2017,coco
237,Fast Five,209837675.0,2011,fast five
238,Mission: Impossible - Ghost Protocol,209397903.0,2011,mission impossible ghost protocol
239,Wedding Crashers,209273411.0,2005,wedding crashers
240,Sherlock Holmes,209028679.0,2009,sherlock holmes
241,Dawn of the Planet of the Apes,208545589.0,2014,dawn of the planet of the apes
242,Batman Begins,206863479.0,2005,batman begins
243,Charlie and the Chocolate Factory,206459076.0,2005,charlie and the chocolate factory
244,Ratatouille,206445654.0,2007,ratatouille
245,Thor: The Dark World,206362140.0,2013,thor the dark world
246,Bad Boys for Life,206305244.0,2020,bad boys for life
247,Austin Powers: The Spy Who Shagged Me,206040086.0,1999,austin powers the spy who shagged me
248,Terminator 2: Judgment Day,205881154.0,1991,terminator 2 judgment day
249,The Amazing Spider-Man 2,203605622.0,2014,the amazing spiderman 2
250,Interstellar,203227580.0,2014,interstellar
251,World War Z,202807711.0,2013,world war z
252,The Mummy Returns,202804895.0,2001,the mummy returns
253,Armageddon,201578182.0,1998,armageddon
254,Cinderella,201151353.0,2015,cinderella
255,Ralph Breaks the Internet,201091711.0,2018,ralph breaks the internet
256,Gone with the Wind,200882193.0,1939,gone with the wind
257,Tangled,200821936.0,2010,tangled
258,Godzilla,200676069.0,2014,godzilla
259,Captain America: Brave New World,200500001.0,2025,captain america brave new world
260,Superman Returns,200081192.0,2006,superman returns
261,Spectre,200074609.0,2015,spectre
262,Pearl Harbor,198542554.0,2001,pearl harbor
263,Monsters vs. Aliens,198351526.0,2009,monsters vs aliens
264,Happy Feet,198000317.0,2006,happy feet
265,Mission: Impossible - The Final Reckoning,197413515.0,2025,mission impossible the final reckoning
266,Indiana Jones and the Last Crusade,197171806.0,1989,indiana jones and the last crusade
267,Ice Age: Dawn of the Dinosaurs,196573705.0,2009,ice age dawn of the dinosaurs
268,Godzilla x Kong: The New Empire,196350016.0,2024,godzilla x kong the new empire
269,Twilight,195553813.0,2008,twilight
270,Ice Age 2: The Meltdown,195330621.0,2006,ice age 2 the meltdown
271,Mission: Impossible - Rogue Nation,195042377.0,2015,mission impossible rogue nation
272,Madagascar,194820396.0,2005,madagascar
273,Men in Black II,193735288.0,2002,men in black ii
274,Kung Fu Panda 4,193590620.0,2024,kung fu panda 4
275,Bad Boys: Ride or Die,193573217.0,2024,bad boys ride or die
276,22 Jump Street,191719337.0,2014,22 jump street
277,Cars 2,191452396.0,2011,cars 2
278,Teenage Mutant Ninja Turtles,191204754.0,2014,teenage mutant ninja turtles
279,The Polar Express,191019448.0,2005,the polar express
280,Sonic the Hedgehog 2,190872904.0,2022,sonic the hedgehog 2
281,Thunderbolts*,190274328.0,2025,thunderbolts
282,Spider-Man: Into the Spider-Verse,190241310.0,2018,spiderman into the spiderverse
283,Grease,190071103.0,1978,grease
284,Dunkirk,189740665.0,2017,dunkirk
285,F1: The Movie,189642436.0,2025,f1 the movie
286,Wreck-It Ralph,189422889.0,2012,wreckit ralph
287,A Quiet Place,188024361.0,2018,a quiet place
288,Gladiator,187705427.0,2000,gladiator
289,The Croods,187168425.0,2013,the croods
290,John Wick: Chapter 4,187131806.0,2023,john wick chapter 4
291,Sherlock Holmes: A Game of Shadows,186848418.0,2011,sherlock holmes a game of shadows
292,The Day After Tomorrow,186740799.0,2004,the day after tomorrow
293,Mr. & Mrs. Smith,186336279.0,2005,mr mrs smith
294,Puss in Boots: The Last Wish,186090535.0,2022,puss in boots the last wish
295,Snow White and the Seven Dwarfs,184925486.0,1937,snow white and the seven dwarfs
296,Pitch Perfect 2,184296230.0,2015,pitch perfect 2
297,The Revenant,184247394.0,2015,the revenant
298,Dances with Wolves,184208848.0,1990,dances with wolves
299,Sound of Freedom,184178046.0,2023,sound of freedom
300,Batman Forever,184069126.0,1995,batman forever
301,The Fugitive,183875760.0,1993,the fugitive
302,Black Widow,183651655.0,2021,black widow
303,Ocean's Eleven,183417150.0,2001,oceans eleven
304,The Simpsons Movie,183135014.0,2007,the simpsons movie
305,What Women Want,182811707.0,2000,what women want
306,The Perfect Storm,182618434.0,2000,the perfect storm
307,Lincoln,182207973.0,2012,lincoln
308,Liar Liar,181410615.0,1997,liar liar
309,Jurassic Park III,181171875.0,2001,jurassic park iii
310,Thor,181030624.0,2011,thor
311,Mission: Impossible,180981856.0,1996,mission impossible
312,Taylor Swift: The Eras Tour,180756269.0,2023,taylor swift the eras tour
313,Top Gun,180258178.0,1986,top gun
314,Ant-Man,180202163.0,2015,antman
315,Planet of the Apes,180011740.0,2001,planet of the apes
316,Madagascar: Escape 2 Africa,180010950.0,2008,madagascar escape 2 africa
317,X-Men Origins: Wolverine,179883157.0,2009,xmen origins wolverine
318,Indiana Jones and the Temple of Doom,179870271.0,1984,indiana jones and the temple of doom
319,Elf,179757261.0,2003,elf
320,Hitch,179495555.0,2005,hitch
321,Men in Black³,179020854.0,2012,men in black
322,Pretty Woman,178406268.0,1990,pretty woman
323,The Conjuring: Last Rites,177756445.0,2025,the conjuring last rites
324,The Matrix,177559005.0,1999,the matrix
325,Home,177397510.0,2015,home
326,Night at the Museum: Battle of the Smithsonian,177243721.0,2009,night at the museum battle of the smithsonian
327,Tootsie,177200000.0,1982,tootsie
328,How to Train Your Dragon 2,177002924.0,2014,how to train your dragon 2
329,Rise of the Planet of the Apes,176760185.0,2011,rise of the planet of the apes
330,Captain America: The First Avenger,176654505.0,2011,captain america the first avenger
331,The Karate Kid,176591618.0,2010,the karate kid
332,There's Something About Mary,176484651.0,1998,theres something about mary
333,Ice Age,176387405.0,2002,ice age
334,The Bourne Supremacy,176241941.0,2004,the bourne supremacy
335,Get Out,176196665.0,2017,get out
336,The Lego Batman Movie,175936671.0,2017,the lego batman movie
337,Us,175084580.0,2019,us
338,The Boss Baby,175003033.0,2017,the boss baby
339,Crazy Rich Asians,174837452.0,2018,crazy rich asians
340,Crocodile Dundee,174803506.0,1986,crocodile dundee
341,Apollo 13,174692658.0,1995,apollo 13
342,Indiana Jones and the Dial of Destiny,174480468.0,2023,indiana jones and the dial of destiny
343,The Greatest Showman,174340174.0,2017,the greatest showman
344,Fast & Furious Presents: Hobbs & Shaw,173956935.0,2019,fast furious presents hobbs shaw
345,Home Alone 2: Lost in New York,173585516.0,1992,home alone 2 lost in new york
346,National Treasure,173008894.0,2004,national treasure
347,F9: The Fast Saga,173005945.0,2021,f9 the fast saga
348,Air Force One,172956409.0,1997,air force one
349,Rain Man,172825435.0,1988,rain man
350,Mission: Impossible - Dead Reckoning Part One,172640980.0,2023,mission impossible dead reckoning part one
351,Pirates of the Caribbean: Dead Men Tell No Tales,172558876.0,2017,pirates of the caribbean dead men tell no tales
352,Gladiator II,172438016.0,2024,gladiator ii
353,Tron: Legacy,172062763.0,2010,tron legacy
354,Mary Poppins Returns,171958438.0,2018,mary poppins returns
355,True Grit,171243005.0,2010,true grit
356,Kingdom of the Planet of the Apes,171130165.0,2024,kingdom of the planet of the apes
357,Tarzan,171091819.0,1999,tarzan
358,John Wick: Chapter 3 - Parabellum,171015687.0,2019,john wick chapter 3 parabellum
359,A Beautiful Mind,170742341.0,2001,a beautiful mind
360,Chicago,170687518.0,2002,chicago
361,The Help,169708112.0,2011,the help
362,Hotel Transylvania 2,169700110.0,2015,hotel transylvania 2
363,Hidden Figures,169607287.0,2016,hidden figures
364,Bridesmaids,169451048.0,2011,bridesmaids
365,Quantum of Solace,168368427.0,2008,quantum of solace
366,Wild Hogs,168273550.0,2007,wild hogs
367,Black Adam,168152111.0,2022,black adam
368,Kong: Skull Island,168052812.0,2017,kong skull island
369,Three Men and a Baby,167780960.0,1987,three men and a baby
370,Gone Girl,167767189.0,2014,gone girl
371,Hotel Transylvania 3: Summer Vacation,167510016.0,2018,hotel transylvania 3 summer vacation
372,Casino Royale,167445960.0,2006,casino royale
373,The Hunger Games: The Ballad of Songbirds & Snakes,166350594.0,2023,the hunger games the ballad of songbirds snakes
374,Meet the Parents,166244045.0,2000,meet the parents
375,Fifty Shades of Grey,166167230.0,2015,fifty shades of grey
376,2012,166112167.0,2009,2012
377,Robin Hood: Prince of Thieves,165493908.0,1991,robin hood prince of thieves
378,Knives Out,165363234.0,2019,knives out
379,Kung Fu Panda 2,165249063.0,2011,kung fu panda 2
380,Hannibal,165092268.0,2001,hannibal
381,Eternals,164870234.0,2021,eternals
382,Catch Me If You Can,164615351.0,2002,catch me if you can
383,The Proposal,163958031.0,2009,the proposal
384,The Pursuit of Happyness,163566459.0,2006,the pursuit of happyness
385,Big Daddy,163479795.0,1999,big daddy
386,Clash of the Titans,163214888.0,2010,clash of the titans
387,The SpongeBob Movie: Sponge Out of Water,162994032.0,2015,the spongebob movie sponge out of water
388,Batman Returns,162924631.0,1992,batman returns
389,Django Unchained,162805434.0,2012,django unchained
390,A Bug's Life,162798565.0,1998,a bugs life
391,Sing 2,162790990.0,2021,sing 2
392,Jason Bourne,162434410.0,2016,jason bourne
393,Grown Ups,162001186.0,2010,grown ups
394,The Waterboy,161491646.0,1998,the waterboy
395,Ice Age: Continental Drift,161321843.0,2012,ice age continental drift
396,Straight Outta Compton,161197785.0,2015,straight outta compton
397,How to Train Your Dragon: The Hidden World,160945505.0,2019,how to train your dragon the hidden world
398,Die Another Day,160942139.0,2002,die another day
399,No Time to Die,160891007.0,2021,no time to die
400,The Sound of Music,160888776.0,1965,the sound of music
401,Shark Tale,160861908.0,2004,shark tale
402,A Quiet Place Part II,160072261.0,2021,a quiet place part ii
403,The Heat,159582188.0,2013,the heat
404,Fantastic Beasts: The Crimes of Grindelwald,159555901.0,2018,fantastic beasts the crimes of grindelwald
405,Halloween,159342015.0,2018,halloween
406,1917,159227644.0,2019,1917
407,The Secret Life of Pets 2,158980250.0,2019,the secret life of pets 2
408,Star Trek Beyond,158848340.0,2016,star trek beyond
409,The Firm,158348367.0,1993,the firm
410,The Longest Yard,158119460.0,2005,the longest yard
411,Transformers: Rise of the Beasts,157341749.0,2023,transformers rise of the beasts
412,X-Men,157299718.0,2000,xmen
413,Hoppers,157122859.0,2026,hoppers
414,The Mummy,157095368.0,1999,the mummy
415,Scary Movie,157019771.0,2000,scary movie
416,Fatal Attraction,156645693.0,1987,fatal attraction
417,Who Framed Roger Rabbit,156452370.0,1988,who framed roger rabbit
418,Creed III,156248615.0,2023,creed iii
419,The Sting,156000000.0,1973,the sting
420,What Lies Beneath,155464351.0,2000,what lies beneath
421,X-Men: Apocalypse,155442489.0,2016,xmen apocalypse
422,Snow White and the Huntsman,155332381.0,2012,snow white and the huntsman
423,San Andreas,155190832.0,2015,san andreas
424,Fast & Furious,155064265.0,2009,fast furious
425,Over the Hedge,155019340.0,2006,over the hedge
426,Fantastic Four,154696080.0,2005,fantastic four
427,Horton Hears a Who!,154529439.0,2008,horton hears a who
428,Elemental,154426697.0,2023,elemental
429,Mad Max: Fury Road,154280290.0,2015,mad max fury road
430,Trolls,154174089.0,2016,trolls
431,Jerry Maguire,153952592.0,1996,jerry maguire
432,Beverly Hills Cop II,153665036.0,1987,beverly hills cop ii
433,Gremlins,153642180.0,1984,gremlins
434,Scooby-Doo,153322074.0,2002,scoobydoo
435,Cars 3,152901115.0,2017,cars 3
436,Sex and the City,152647258.0,2008,sex and the city
437,Runaway Bride,152257509.0,1999,runaway bride
438,Weapons,151572492.0,2025,weapons
439,La La Land,151101803.0,2016,la la land
440,Elvis,151040048.0,2022,elvis
441,Divergent,150947895.0,2014,divergent
442,Rambo: First Blood Part II,150415432.0,1985,rambo first blood part ii
443,We're the Millers,150394119.0,2013,were the millers
444,Terminator 3: Rise of the Machines,150371112.0,2003,terminator 3 rise of the machines
445,Daddy's Home,150357137.0,2015,daddys home
446,G.I. Joe: The Rise of Cobra,150201498.0,2009,gi joe the rise of cobra
447,Neighbors,150157400.0,2014,neighbors
448,American Hustle,150117807.0,2013,american hustle
449,Puss in Boots,149260504.0,2011,puss in boots
450,Les Misérables,149260140.0,2012,les misrables
451,Sonic the Hedgehog,148974665.0,2020,sonic the hedgehog
452,Knocked Up,148768917.0,2007,knocked up
453,Uncharted,148648820.0,2022,uncharted
454,It Ends with Us,148518266.0,2024,it ends with us
455,As Good as It Gets,148478011.0,1997,as good as it gets
456,Little Fockers,148438600.0,2010,little fockers
457,Hotel Transylvania,148426305.0,2012,hotel transylvania
458,Megamind,148415853.0,2010,megamind
459,Talladega Nights: The Ballad of Ricky Bobby,148213377.0,2006,talladega nights the ballad of ricky bobby
460,Gran Torino,148095302.0,2008,gran torino
461,Lethal Weapon 2,147253986.0,1989,lethal weapon 2
462,War for the Planet of the Apes,146880162.0,2017,war for the planet of the apes
463,X-Men: First Class,146408305.0,2011,xmen first class
464,Paul Blart: Mall Cop,146336178.0,2009,paul blart mall cop
465,True Lies,146282411.0,1994,true lies
466,Fast X,146126015.0,2023,fast x
467,Lilo & Stitch,145794338.0,2002,lilo stitch
468,The Santa Clause,145539357.0,1994,the santa clause
469,The Meg,145522784.0,2018,the meg
470,American Pie 2,145103595.0,2001,american pie 2
471,Taken,145000989.0,2009,taken
472,One Hundred and One Dalmatians,144880014.0,1961,one hundred and one dalmatians
473,The Great Gatsby,144857996.0,2013,the great gatsby
474,"I, Robot",144801023.0,2004,i robot
475,The Fast and the Furious,144745925.0,2001,the fast and the furious
476,Lethal Weapon 3,144731527.0,1992,lethal weapon 3
477,Mamma Mia!,144330569.0,2008,mamma mia
478,Pokémon: Detective Pikachu,144174568.0,2019,pokmon detective pikachu
479,Doctor Dolittle,144156605.0,1998,doctor dolittle
480,The Wild Robot,143901945.0,2024,the wild robot
481,Rio,143619809.0,2011,rio
482,Kung Fu Panda 3,143528619.0,2016,kung fu panda 3
483,Juno,143495265.0,2007,juno
484,Marley & Me,143153751.0,2008,marley me
485,The Smurfs,142614158.0,2011,the smurfs
