adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,title_clean,year
False,/vh7np635kDIcfO6x2Y9ElgLJsuI.jpg,"[80, 27, 9648]",4232,en,Scream,"A year after the murder of her mother, a teenage girl is terrorized by a masked killer who targets her and her friends by using scary movies as part of a deadly game.",15.6279,/lr9ZIrmuwVmZhpZuTCW8D9g0ZJe.jpg,1996-12-20,Scream,False,7.4,7846,scream,1996
False,/7I6VUdPj6tQECNHdviJkUHD2u89.jpg,"[28, 53, 80]",603692,en,John Wick: Chapter 4,"With the price on his head ever increasing, John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.",15.6097,/vZloFAK7NmvMGKE7VkF5UHaz0I.jpg,2023-03-21,John Wick: Chapter 4,False,7.707,7820,john wick chapter 4,2023
False,/7HR38hMBl23lf38MAN63y4pKsHz.jpg,"[18, 10749]",666277,en,Past Lives,"After decades apart, childhood friends Nora and Hae Sung are reunited in New York for one fateful weekend as they confront notions of destiny, love, and the choices that make a life.",15.5456,/k3waqVXSnvCZWfJYNtdamTgTtTA.jpg,2023-06-02,Past Lives,False,7.715,2260,past lives,2023
False,/izkMjmhauFx9DjoBQqM5sM5WAwE.jpg,"[28, 53, 878]",280,en,Terminator 2: Judgment Day,"Ten years after the events of the original, a reprogrammed T-800 is sent back in time to protect young John Connor from the shape-shifting T-1000. Together with his mother Sarah, he fights to stop Skynet from triggering a nuclear apocalypse.",15.5261,/jFTVD4XoWQTcg7wdyJKa8PEds5q.jpg,1991-07-03,Terminator 2: Judgment Day,False,8.144,14117,terminator 2 judgment day,1991
False,/gLQoJ9P79g501oEEtrN8zMlCPpx.jpg,"[36, 18, 53, 10752]",205596,en,The Imitation Game,"Based on the real life story of legendary cryptanalyst Alan Turing, the film portrays the nail-biting race against time by Turing and his brilliant team of code-breakers at Britain's top-secret Government Code and Cypher School at Bletchley Park, during the darkest days of World War II.",15.4707,/zSqJ1qFq8NXFfi7JeIYMlzyR0dx.jpg,2014-11-14,The Imitation Game,False,7.985,17957,the imitation game,2014
False,/bGGjyPqtNc8hhGkPo8W8D8t90bW.jpg,"[28, 12, 53]",539972,en,Kraven the Hunter,"Kraven Kravinoff's complex relationship with his ruthless gangster father, Nikolai, starts him down a path of vengeance with brutal consequences, motivating him to become not only the greatest hunter in the world, but also one of its most feared.",15.417300000000001,/1GvBhRxY6MELDfxFrete6BNhBB5.jpg,2024-12-11,Kraven the Hunter,False,6.432,2280,kraven the hunter,2024
False,/iZHJsUYxhjI6kbooHoQRWXv6F8E.jpg,"[18, 53, 80]",59,en,A History of Violence,An average family is thrust into the spotlight after the father commits a seemingly self-defense murder at his diner.,15.3194,/3qnO72NHmUgs9JZXAmu4aId9QDl.jpg,2005-09-23,A History of Violence,False,7.165,3672,a history of violence,2005
False,/6G2fLCVm9fiLyHvBrccq6GSe2ih.jpg,"[28, 878, 35]",284053,en,Thor: Ragnarok,"Thor is imprisoned on the other side of the universe and finds himself in a race against time to get back to Asgard to stop Ragnarok, the destruction of his home-world and the end of Asgardian civilization, at the hands of a powerful new threat, the ruthless Hela.",15.3156,/rzRwTcFvttcN1ZpX2xv4j3tSdJu.jpg,2017-10-02,Thor: Ragnarok,False,7.5809999999999995,21874,thor ragnarok,2017
False,/85k0kaoRgGmF6ACq0M61AFxhjLN.jpg,"[35, 80]",12153,en,White Chicks,"Two FBI agent brothers, Marcus and Kevin Copeland, accidentally foil a drug bust. To avoid being fired they accept a mission escorting a pair of socialites to the Hamptons--but when the girls are disfigured in a car accident, they refuse to go. Left without options, Marcus and Kevin decide to pose as the sisters, transforming themselves from black men into rich white women.",15.236,/aHTUpo45qy9QYIOnVITGGqLoVcA.jpg,2004-06-23,White Chicks,False,6.93,4454,white chicks,2004
False,/xKsnZDERG1dk95wuZ5q9iks3OL3.jpg,"[80, 18, 28]",949,en,Heat,Obsessive master thief Neil McCauley leads a top-notch crew on various daring heists throughout Los Angeles while determined detective Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.,15.2347,/e09dLw1Ljtccd2P4NsuUvVtS5du.jpg,1995-12-15,Heat,False,7.9,8229,heat,1995
