Rank,Title,Theaters,Total Gross,Release Date,Distributor,Year,title_clean,is_rerelease
69,Sisu,1006,7265622,2023-04-28 00:00:00,Lionsgate,2023,sisu,False
70,Star Wars: Episode VI - Return of the Jedi2023 Re-release,475,7259924,2023-04-28 00:00:00,Unknown,2023,star wars: episode vi - return of the jedi2023 re-release,True
71,Operation Fortune: Ruse de Guerre,2168,6496125,2023-03-03 00:00:00,Lionsgate,2023,operation fortune: ruse de guerre,False
72,BTS: Yet to Come in Cinemas,1210,8093270,2023-02-01 00:00:00,Trafalgar Releasing,2023,bts: yet to come in cinemas,False
73,Babylon,3351,15351455,2023-12-23 00:00:00,Paramount Pictures,2023,babylon,False
74,Love Again,2703,6230837,2023-05-05 00:00:00,Screen Gems,2023,love again,False
75,The Fabelmans,1962,17348945,2023-11-11 00:00:00,Universal Pictures,2023,the fabelmans,False
76,The Chosen Season 3 Finale,1979,5525069,2023-02-02 00:00:00,Fathom Events,2023,the chosen season 3 finale,False
77,Nefarious,933,5433685,2023-04-14 00:00:00,Soli Deo Gloria Releasing,2023,nefarious,False
78,Big George Foreman,3054,5426772,2023-04-28 00:00:00,Sony Pictures Entertainment (SPE),2023,big george foreman,False
79,Women Talking,707,5456531,2023-12-23 00:00:00,United Artists Releasing,2023,women talking,False
80,Infinity Pool,1835,5078400,2023-01-27 00:00:00,Neon,2023,infinity pool,False
81,You Hurt My Feelings,912,4830788,2023-05-26 00:00:00,A24,2023,you hurt my feelings,False
82,Kandahar,2105,4813132,2023-05-26 00:00:00,Open Road Films (II),2023,kandahar,False
83,Hypnotic,2118,4500169,2023-05-12 00:00:00,Ketchup Entertainment,2023,hypnotic,False
84,Marlowe,2281,4350243,2023-02-15 00:00:00,Open Road Films (II),2023,marlowe,False
85,The Amazing Maurice,1717,4303645,2023-02-03 00:00:00,Viva Pictures,2023,the amazing maurice,False
86,Mummies,384,4275970,2023-02-24 00:00:00,Warner Bros.,2023,mummies,False
87,Retribution,1750,3821285,2023-08-25 00:00:00,Roadside Attractions,2023,retribution,False
88,Ponniyin Selvan: Part Two,0,3813000,2023-04-28 00:00:00,Unknown,2023,ponniyin selvan: part two,False
89,Left Behind: Rise of the Antichrist,1407,3649422,2023-01-26 00:00:00,Fathom Events,2023,left behind: rise of the antichrist,False
90,Theater Camp,555,3644801,2023-07-14 00:00:00,Searchlight Pictures,2023,theater camp,False
91,The Journey: A Music Special from Andrea Bocelli,1074,3574915,2023-04-02 00:00:00,Fathom Events,2023,the journey: a music special from andrea bocelli,False
92,Chevalier,1281,3541159,2023-04-21 00:00:00,Walt Disney Studios Motion Pictures,2023,chevalier,False
93,Mafia Mamma,2002,3496761,2023-04-14 00:00:00,Bleecker Street Media,2023,mafia mamma,False
94,The Wandering Earth II,172,5023132,2023-01-22 00:00:00,Well Go USA Entertainment,2023,the wandering earth ii,False
95,A Thousand and One,926,3400020,2023-03-31 00:00:00,Focus Features,2023,a thousand and one,False
96,Violent Night,3723,50057405,2023-12-02 00:00:00,Universal Pictures,2023,violent night,False
97,2023 Oscar Nominated Short Films: Live Action,357,3025631,2023-02-17 00:00:00,ShortsTV,2023,2023 oscar nominated short films: live action,False
98,Living,644,3038113,2023-12-23 00:00:00,Sony Pictures Classics,2023,living,False
99,The Menu,3228,38501125,2023-11-18 00:00:00,Searchlight Pictures,2023,the menu,False
100,The Hill,1570,2515612,2023-08-25 00:00:00,Briarcliff Entertainment,2023,the hill,False
101,Tu Jhoothi Main Makkaar,400,2503604,2023-03-08 00:00:00,Yash Raj Films USA Inc.,2023,tu jhoothi main makkaar,False
102,Come Out in Jesus Name,1047,2500574,2023-03-13 00:00:00,Fathom Events,2023,come out in jesus name,False
103,A Good Person,687,2210465,2023-03-24 00:00:00,United Artists Releasing,2023,a good person,False
104,Moving On,794,2136832,2023-03-17 00:00:00,Roadside Attractions,2023,moving on,False
105,The Miracle Club,677,2104152,2023-07-14 00:00:00,Sony Pictures Entertainment (SPE),2023,the miracle club,False
106,Skinamarink,809,2052272,2023-01-13 00:00:00,IFC Films,2023,skinamarink,False
107,Jurassic Park2023 Re-release (30th Anniversary),1224,1864240,2023-08-25 00:00:00,Universal Pictures,2023,jurassic park2023 re-release (30th anniversary),True
108,Golda,883,1856809,2023-08-25 00:00:00,Bleecker Street Media,2023,golda,False
109,Somewhere in Queens,602,1802442,2023-04-21 00:00:00,Roadside Attractions,2023,somewhere in queens,False
110,Jules,780,1775876,2023-08-11 00:00:00,Bleecker Street Media,2023,jules,False
111,Winnie the Pooh: Blood and Honey,1652,1750639,2023-02-15 00:00:00,Fathom Events,2023,winnie the pooh: blood and honey,False
112,Fear,974,2090261,2023-01-27 00:00:00,Hidden Empire Film Group (HEFG),2023,fear,False
113,Lost in the Stars,0,1721446,2023-07-07 00:00:00,CMC Pictures,2023,lost in the stars,False
114,That Time I Got Reincarnated as a Slime the Movie: Scarlet Bond,1473,1588491,2023-01-20 00:00:00,Crunchyroll,2023,that time i got reincarnated as a slime the movie: scarlet bond,False
115,The Banshees of Inisherin,1205,10582266,2023-10-21 00:00:00,Searchlight Pictures,2023,the banshees of inisherin,False
116,Polite Society,927,1545600,2023-04-28 00:00:00,Focus Features,2023,polite society,False
117,The Quiet Girl,244,1500014,2023-02-24 00:00:00,Neon,2023,the quiet girl,False
118,BlackBerry,449,1476597,2023-05-12 00:00:00,IFC Films,2023,blackberry,False
119,Spirited Away2023 Re-release (Live on Stage),1046,1455081,2023-04-23 00:00:00,Fathom Events,2023,spirited away2023 re-release (live on stage),True
120,Oldboy2023 Re-release,250,1443314,2023-08-16 00:00:00,Unknown,2023,oldboy2023 re-release,True
121,Maybe I Do,465,1293722,2023-01-27 00:00:00,Vertical Entertainment,2023,maybe i do,False
122,Billie Eilish Live at the O2,600,1290000,2023-01-27 00:00:00,Trafalgar Releasing,2023,billie eilish live at the o2,False
123,The First Slam Dunk,581,1256517,2023-07-28 00:00:00,GKIDS,2023,the first slam dunk,False
124,Tár,1090,6773650,2023-10-07 00:00:00,Focus Features,2023,tár,False
125,The Lost King,753,1188032,2023-03-24 00:00:00,IFC Films,2023,the lost king,False
126,The Lord of the Rings: The Return of the King20th Anniversary,1107,1176085,2023-04-13 00:00:00,Fathom Events,2023,the lord of the rings: the return of the king20th anniversary,True
127,Strange World,4174,37968963,2023-11-23 00:00:00,Walt Disney Studios Motion Pictures,2023,strange world,False
128,Close,233,1100113,2023-01-27 00:00:00,A24,2023,close,False
129,Emily,579,1097067,2023-02-17 00:00:00,Bleecker Street Media,2023,emily,False
130,Knights of the Zodiac,588,1090155,2023-05-12 00:00:00,Unknown,2023,knights of the zodiac,False
131,Broker,271,1046899,2023-12-23 00:00:00,Neon,2023,broker,False
132,Showing Up,115,754483,2023-04-07 00:00:00,A24,2023,showing up,False
133,The Roundup: No Way Out,41,909411,2023-06-02 00:00:00,Capelight Pictures,2023,the roundup: no way out,False
134,Inside,357,897190,2023-03-17 00:00:00,Focus Features,2023,inside,False
135,Fool's Paradise,794,855173,2023-05-12 00:00:00,Roadside Attractions,2023,fool's paradise,False
136,Paint,819,811739,2023-04-07 00:00:00,IFC Films,2023,paint,False
137,Return to Seoul,103,798774,2023-02-17 00:00:00,Sony Pictures Classics,2023,return to seoul,False
138,Hidden Blade,62,803189,2023-02-17 00:00:00,Well Go USA Entertainment,2023,hidden blade,False
139,The Devil Conspiracy,925,765218,2023-01-13 00:00:00,Unknown,2023,the devil conspiracy,False
140,Roll with It,725,757981,2023-05-09 00:00:00,Fathom Events,2023,roll with it,False
141,How to Blow Up a Pipeline,530,750010,2023-04-07 00:00:00,Unknown,2023,how to blow up a pipeline,False
142,Rally Road Racers,1228,744169,2023-05-12 00:00:00,Viva Pictures,2023,rally road racers,False
143,It Ain't Over,128,705355,2023-05-12 00:00:00,Sony Pictures Entertainment (SPE),2023,it ain't over,False
144,Devotion,3458,20511938,2023-11-23 00:00:00,Columbia Pictures,2023,devotion,False
145,Master Gardener,225,667114,2023-05-19 00:00:00,Magnolia Pictures,2023,master gardener,False
146,Shortcomings,404,653780,2023-08-04 00:00:00,Sony Pictures Classics,2023,shortcomings,False
147,Corsage,317,705767,2023-12-23 00:00:00,IFC Films,2023,corsage,False
148,EO,80,1068782,2023-11-18 00:00:00,Sideshow Releasing,2023,eo,False
149,Shin Ultraman,1040,601490,2023-01-11 00:00:00,Fathom Events,2023,shin ultraman,False
150,The Thorn,834,577004,2023-03-06 00:00:00,Fathom Events,2023,the thorn,False
151,The Way2023  Re-release,755,567448,2023-05-16 00:00:00,Fathom Events,2023,the way2023  re-release,True
152,Of an Age,289,556585,2023-02-17 00:00:00,Focus Features,2023,of an age,False
153,Sweetwater,1204,541633,2023-04-14 00:00:00,Briarcliff Entertainment,2023,sweetwater,False
154,Aftersun,97,1658790,2023-10-21 00:00:00,A24,2023,aftersun,False
155,Consecration,762,538551,2023-02-10 00:00:00,IFC Films,2023,consecration,False
156,Sanctuary,225,535202,2023-05-19 00:00:00,Unknown,2023,sanctuary,False
157,Bottoms,10,533978,2023-08-25 00:00:00,Orion Pictures,2023,bottoms,False
158,Triangle of Sadness,610,4608096,2023-10-07 00:00:00,Neon,2023,triangle of sadness,False
159,"Crouching Tiger, Hidden Dragon2023 Re-release",475,451549,2023-02-17 00:00:00,Sony Pictures Classics,2023,"crouching tiger, hidden dragon2023 re-release",True
160,A Father's Heart,741,447912,2023-05-01 00:00:00,Fathom Events,2023,a father's heart,False
